id,day_number,info,is_active,created_at,updated_at,info_en
0007e2fa-cabc-4226-900d-8ea2c472b6ea,456,"Körpənin gözünün önündə günü-gündən böyüdüyünü və inkişaf etdiyini görürsən. Bunda sənin payın əvəzsizdir! 😊 Həkiminiz bu ay sizi rutin müayinəyə çağırmasa da, yəqin ki, körpənin boy və çəki göstəricilərinin necə olması səni maraqlandırır. Ümumdünya Səhiyyə Təşkilatının standartlarına görə, 15 aylıq qız uşaqlarının çəkisi ən azı 7700 qram, oğlan uşaqlarının isə ən azı 8400 qram olmalıdır. Bu dəyərlərin ən yüksək həddi qızlarda təxminən 13.500 qram, oğlanlarda isə 14.300 qramdır. Körpənin bu ay boy uzunluğu qız uşaqlarında 72.4 sm ilə 82.7 sm, oğlan uşaqlarında isə 74.4 sm ilə 83.4 sm təşkil edir. Körpənin bu aralıqda olması, əlbəttə, hər bir ana kimi səni də çox sevindirəcək. Lakin xatırlatmaq istərdik ki, bütün bu rəqəmlər körpənin cinsinə, qidalanma rejiminə, iştahına və yerimə kimi qaba motor bacarıqlarına görə fərqlilik göstərə bilər.",TRUE,2026-02-12 05:05:29.027627+00,2026-03-21 14:14:16.979574+00,"You see your baby growing and developing day by day before your eyes. Your contribution to this is invaluable! 😊 Even if your doctor doesn't call you for a routine check-up this month, you're probably curious about your baby's height and weight indicators. According to World Health Organization standards, a 15-month-old girl should weigh at least 7700 grams, and a boy should weigh at least 8400 grams. The upper limits for these values are approximately 13,500 grams for girls and 14,300 grams for boys. Your baby's height this month ranges from 72.4 cm to 82.7 cm for girls, and from 74.4 cm to 83.4 cm for boys. Your baby being within this range will, of course, make you very happy, like any mother. However, we'd like to remind you that all these figures can vary depending on your baby's sex, feeding regimen, appetite, and gross motor skills like walking."
005de367-3aa8-4500-87f0-c7f5b37b1fe4,317,"Əgər körpəni əmizdirirsənsə və ya süni qida verirsənsə, bu mərhələdə onun gündəlik kalori ehtiyacının təxminən yarısı hələ də süddən qarşılanır. Ana südünün qida dəyəri orta hesabla 88% su, 55% yağ, 37% karbohidrat və 8% zülaldan ibarətdir. Südündə əsasən laktoza adlı karbohidrat var. Bu maddə süddən alınan kalori dəyərinin təxminən 40%-ni təmin edir. Olduqca enerji verən bu karbohidrat növü, eyni zamanda körpənin bağırsaqlarında zərərli bakteriyaların çoxalmasının qarşısını alan asidik bir mühit yaradır. Bağırsaqlardakı faydalı bakteriyaların yaranmasını sürətləndirərək, balanslı bir bağırsaq florasının formalaşmasına dəstək olur. Buna görə də, hələ sürətli inkişaf dövründə olan körpən üçün əmizdirmə müddətini bacardığın qədər uzatmağın vacibdir. Ana südü olmadıqda isə mütəxəssislər ən azı 1 yaşına qədər davamlı süd qarışıqlarının eyni qaydada verilməsini tövsiyə edirlər.",TRUE,2026-02-12 05:05:28.062755+00,2026-03-21 14:14:14.3746+00,"Whether you are breastfeeding or formula-feeding, at this stage, approximately half of your baby's daily caloric needs are still met by milk. The nutritional value of breast milk is, on average, 88% water, 55% fat, 37% carbohydrates, and 8% protein. Your milk primarily contains a carbohydrate called lactose, which provides about 40% of the caloric value from milk. This highly energetic carbohydrate also creates an acidic environment in the baby's intestines, preventing the proliferation of harmful bacteria. It accelerates the growth of beneficial bacteria, supporting the formation of a balanced gut flora. Therefore, for your baby who is still in a rapid development phase, it's important to extend the breastfeeding period as much as you can. If breast milk is not available, specialists recommend giving continuous formula in the same manner until at least 1 year of age."
0094e862-06ed-4386-a5cf-c1f9439c8d66,597,"Körpəniz artıq oyuncaqları ilə daha aktiv şəkildə oynamağa başlayıb. Məsələn, inkişafına uyğun maraqlı kitabların səhifələrini çevirərək hər yeni səhifədə qarşısına çıxanları uzun-uzun incələyə bilər. Kubları və ya künclü oyuncaqları ilə qüllələr qura bilər. Bu qüllələri və ya üst-üstə yığılmış oyuncaqları yıxmaq isə onun ən sevimli məşğuliyyətlərindən birinə çevrilə bilər. Hansı oyuncağının hansı siyirmədə olduğunu xatırlaya bilər, işi bitdikdə isə xatırlatdığınız təqdirdə oyuncaqlarını yerinə yığa bilər. Bütün bunlar körpənizin ünsiyyət bacarıqlarının və şifahi ifadə qabiliyyətinin xeyli inkişaf etməsindən qaynaqlanır. Körpənizin bu inkişafına dəstək olmaq və müxtəlif sahələrə yönəlməsini təmin etmək üçün yeni oyuncaqlar axtarmağa başlaya bilərsiniz. Məsələn, barmaq boyaları, leqolar, sadə pazllar, oyun xəmirləri və evcik-evcik oyunları üçün lazım olan ləvazimatlar körpənizin inkişafı üçün olduqca uyğun seçimlərdir. Diqqət etməli olduğunuz məqam isə körpəniz xüsusilə ilk dəfə tanış olduğu oyun xəmiri kimi materiallarla oynayarkən onu nəzarətdə saxlamağınızdır. Xoş əyləncələr! 😊",TRUE,2026-03-21 14:02:57.169489+00,2026-03-21 14:14:19.780779+00,"Your baby is now beginning to play more actively with their toys. For example, they can turn the pages of interesting books appropriate for their development, carefully examining what appears on each new page. They can build towers with blocks or other stackable toys. And knocking down these towers or stacked toys might become one of their favorite pastimes. They can even remember which drawer a particular toy is in, and with a reminder, can put their toys away after playing. All of this stems from a significant improvement in your baby's communication skills and verbal expression. To support your baby's development and encourage engagement in various areas, you might start looking for new toys. For instance, finger paints, LEGOs, simple puzzles, playdough, and accessories for pretend play are all excellent choices for your baby's development. A point to remember is to supervise your baby, especially when they are playing with new materials like playdough for the first time. Happy playing! 😊"
00df44e2-a34f-41b7-a04c-dd03d72172ba,1243,"Körpənizlə evdə onun yaradıcılığını inkişaf etdirəcək ən yaxşı fəaliyyətlərdən biri tullantı materiallarından fiqurlar düzəltməkdir. Hər bir fəaliyyətlə uşağınızın fərqli inkişaf sahələrinə toxuna bilərsiniz. Övladınız 3 yaşında olduğu üçün çox detallı işlər görmək bir az çətin ola bilər. Lakin bitmiş tualet kağızı rulonlarından durbin düzəltmək həm yaradıcılıq üçün, həm də evdəki əşyalardan təkrar istifadəni öyrənmək baxımından çox faydalıdır. Şüşə qapaqlarının üzərinə müxtəlif fiqurlar çəkib, karton üzərindəki eyni fiqurlarla uyğunlaşdırma oyunu oynaya bilərsiniz. İstifadə olunmuş plastik qabları kəsib alt hissəsindən dibçək düzəltmək də gözəl fikirdir. Enerjisini doğru yollarla xərcləyən körpəniz daha sakit olacaq, sakit uşaq isə sizi daha az yoracaqdır.",TRUE,2026-03-21 14:03:00.188303+00,2026-03-21 14:14:31.607613+00,"One of the best activities to boost your little one's creativity at home is making crafts from recycled materials. Each activity can help stimulate different areas of your child's development. Since your child is 3 years old, very detailed work might be a bit challenging. However, making binoculars from empty toilet paper rolls is excellent for fostering creativity and teaching them about reusing household items. You can draw different shapes on bottle caps and play a matching game with the same shapes on a piece of cardboard. Cutting used plastic containers and turning their bottoms into small plant pots is also a wonderful idea. A child who channels their energy constructively will be calmer, and a calm child will tire you out less."
0102cad4-afdc-443f-9c50-810c77e5f6b0,789,"Körpəniz bu dövrdə kifayət qədər aqressiv davranışlar nümayiş etdirə bilər. Bu aqressiya başqalarına vurmaq, dişləmək, yemək boşqabını aşırmaq və ya istəyi yerinə yetirilmədikdə sinir böhranı keçirmək şəklində ola bilər. Belə davranışlar uşağın öz duyğularını idarə edə bilməməsinin nəticəsidir. Uşaqlar əslində doğulduqları andan duyğularını idarə etməyi bilirlər, lakin bəzi yanlış davranışlar bu qabiliyyəti baltalaya bilər. Başqa sözlə, bir valideyn olaraq körpənizin hisslərini istəmədən də olsa sıxışdırdıqda, o, hisslərini gizlətməyi və ya sağlam olmayan yollarla ifadə etməyi öyrənir. Məsələn, sizin yanaşmanız doğru olsa belə, körpəniz sizdən aqressiya və ya mənfi rəftar görərsə, bunu normallaşdırmağa başlayar. Bir-birinizə və ya başqalarına olan qəzəbinizi şifahi zorakılıqla deyil, izahlı sözlərlə ifadə edərək körpənizə nümunə olmağınız vacibdir.",TRUE,2026-03-21 14:02:58.245593+00,2026-03-21 14:14:23.601663+00,"Your baby may display quite aggressive behaviors during this period. This aggression can manifest as hitting or biting others, overturning a food plate, or having a tantrum when their wishes aren't met. Such behaviors are a result of the child's inability to manage their emotions. Children are actually born knowing how to manage their emotions, but certain misguided behaviors can hinder this ability. In other words, when you, as a parent, inadvertently suppress your baby's feelings, they learn to hide their emotions or express them in unhealthy ways. For example, even if your approach is correct, if your baby perceives aggression or negative behavior from you, they may start to normalize it. It's important to be a role model for your baby by expressing your anger towards each other or others with explanatory words, rather than verbal abuse."
015590a4-be89-40bd-9634-b5bb65d23d50,225,"Aparılan araşdırmalara görə, valideynləri tərəfindən tez-tez mahnı və layla oxunan körpələr gələcək aylarda danışıq ritmini daha yaxşı qavrayırlar. Danışıq da daxil olmaqla, hər şeyi təqlid edərək öyrənən körpən üçün sözləri düzgün və yerində istifadə etməyin çox vacibdir. Məsələn, havanın soyuq olduğu bir gündə soyuqdur deyərək özünü üşüyürmüş kimi göstərə bilərsən. Bu sayədə körpən həmin sözü daha düzgün şəkildə yaddaşına yazar və səbəb-nəticə əlaqəsini daha rahat başa düşər. Həmçinin, körpənə yaxşı nümunə olmaq üçün, nə qədər şirin görünsə də, onunla uşaq kimi (sözləri təhrif edərək) danışmamalısan. Qoy o, eşitdiyi sözləri aydın və anlaşılan şəkildə yadda saxlasın. Bu prosesi daha əyləncəli etmək üçün körpənin çıxardığı səsləri sən təkrar edə bilərsən. Bu, onun çox xoşuna gələcək və birlikdə əyləncəli vaxt keçirmiş olacaqsınız.",TRUE,2026-02-12 05:05:27.379222+00,2026-03-21 14:14:12.695125+00,"According to research, babies whose parents frequently sing songs and lullabies to them grasp the rhythm of speech better in the coming months. It's crucial for you to use words correctly and appropriately for your baby, who learns everything, including speech, by imitation. For instance, on a cold day, you can pretend to shiver and say, 'It's cold.' This helps your baby remember the word more accurately and understand the cause-and-effect relationship more easily. Also, to be a good role model for your baby, no matter how cute it may seem, you shouldn't talk to them in 'baby talk' (distorting words). Let them remember the words they hear clearly and understandably. To make this process more fun, you can echo the sounds your baby makes. They will love this, and you'll have a fun time together."
01b8c794-e427-40d5-a912-edbb2df87798,2,"Doğuşla birlikdə körpənin dərisində kremli, ağ və yağlı bir təbəqə fərq etmiş olmalısan. Verniks kazeoza adlanan bu təbəqə, 80%-i su olmaqla, tərkibində bol lipid və zülallar ehtiva edən qoruyucu və nazik bir maddədir. Bu yağlı təbəqənin dəri səthindəki paylanması doğuşun baş verdiyi hamiləlik həftəsinə və doğuş formasına görə fərqlilik göstərə bilər. Adətən gec doğulan körpələrdə bu təbəqənin bir hissəsi dəri tərəfindən sorulmuş olur. 37 həftədən əvvəl doğulan körpələrin dərisində isə bu təbəqənin daha sıx olduğu müşahidə edilir. Verniks maddəsinin tərkibində mikrobları məhv etmək xüsusiyyətinə malik müdafiə hüceyrələri və körpənin bədənində təbii immuniteti dəstəkləyən 40-a yaxın müxtəlif zülal var. Bu səbəbdən körpəni doğulduqdan sonra ən azı 24 saat çimizdirməməli və dərisinin bu təbəqəni yaxşıca sormasını gözləməlisən.",TRUE,2026-02-12 05:05:26.006725+00,2026-03-21 14:14:08.36187+00,"Upon birth, you must have noticed a creamy, white, and greasy layer on your baby's skin. This layer, called vernix caseosa, is a protective and thin substance composed of 80% water, rich in lipids and proteins. The distribution of this greasy layer on the skin surface can vary depending on the gestational week of birth and the mode of delivery. Typically, in babies born late, a portion of this layer has already been absorbed by the skin. In babies born before 37 weeks, this layer is observed to be denser. Vernix contains protective cells with germ-killing properties and nearly 40 different proteins that support the baby's natural immunity. For this reason, you should not bathe the baby for at least 24 hours after birth and wait for their skin to thoroughly absorb this layer."
01dbba01-d87e-4015-9ad4-7f2d6dcf5bd6,279,"9-cu ayla birlikdə körpənin çeynəmə refleksinin inkişafı üçün artıq daha çox dənəvər və tikəli qidalar qəbul etməsi lazımdır. Buna görə də, körpənə verəcəyin əlavə qidaları onun əli ilə asanlıqla tuta biləcəyi və loxma şəklində yeyə biləcəyi tərzdə hazırlamalısan. Bu yolla körpən yemək yemə bacarıqlarını da inkişaf etdirmiş olacaq. Əgər körpənin dişləri hələ çıxmayıbsa, dişsiz çeynəyə bilməyəcəyini düşünə bilərsən. Amma bu yanlış fikirdir; körpən xüsusilə bişmiş tərəvəz və meyvə kimi qidaları damağı ilə rahatlıqla əzə bilər. Bu baxımdan, dənəvər və tikəli qidalar körpənin həm çeynəmə, həm də tutma bacarığının inkişafı üçün çox faydalıdır. Bunu həyata keçirmək üçün, xüsusilə BLW (körpənin özünü qidalandırması) metodunda istifadə olunan qidalara üstünlük verə bilərsən.",TRUE,2026-02-12 05:05:27.719329+00,2026-03-21 14:14:13.479528+00,"By the 9th month, to help develop your baby's chewing reflex, it's essential to introduce more textured and lumpy foods. Therefore, you should prepare solid foods that your baby can easily grasp with their hands and eat in bite-sized pieces. This approach will also help your baby develop their self-feeding skills. If your baby doesn't have teeth yet, you might think they can't chew. But this is a misconception; your baby can easily mash foods like cooked vegetables and fruits with their gums. In this regard, textured and lumpy foods are very beneficial for developing both your baby's chewing and grasping abilities. To achieve this, you can prioritize foods commonly used in the BLW (Baby-Led Weaning) method."
026bfc7a-ffb1-444b-accf-fb194f005a8f,563,"Körpənizin bədəni üçün yağlar enerji ehtiyacını qarşılamaqla yanaşı A, D, E və K kimi vitaminlərin sorulmasını təmin edir. Həmçinin körpənizin ehtiyacı olan enerji qəbul etdiyi karbohidratlar tərəfindən qarşılana bilmədikdə, bədəndə toplanan yağlar işə düşür. Qidalanma yolu ilə qəbul edilən yağlar bədəndə istehsal olunmayan yağ turşularının alınmasını təmin edir, böyümə və inkişafı dəstəkləyir. Bundan əlavə, həzm sisteminin düzgün işləməsinə töhfə verməklə yanaşı, hüceyrə qılafı və dərinin elastikliyini də təmin edir. Lakin diqqət etməli olduğunuz nöqtə körpənizin yağ ehtiyacını doymuş yağlardan deyil, doymamış yağ turşularından qarşılamaqdır. Omeqa-3, Omeqa-6 və Omeqa-9 körpənizin sağlam inkişafı üçün ən faydalı yağlar sırasındadır. Bu yağlar isə ən çox balıqda olmaqla ana südü, yumurta, inək südü, kətan toxumu, fındıq, avokado və zeytun yağında olur.",TRUE,2026-03-21 14:02:57.169489+00,2026-03-21 14:14:19.347653+00,"Fats are essential for your baby's body, not only meeting their energy needs but also ensuring the absorption of vitamins like A, D, E, and K. Additionally, when the energy your baby needs cannot be fully met by carbohydrates, stored fats step in. Fats obtained through nutrition provide essential fatty acids that the body cannot produce on its own, supporting growth and development. Furthermore, they contribute to the proper functioning of the digestive system, as well as the elasticity of cell membranes and the skin. However, the crucial point to note is that your baby's fat needs should be met with unsaturated fatty acids, not saturated fats. Omega-3, Omega-6, and Omega-9 are among the most beneficial fats for your baby's healthy development. These fats are found most abundantly in fish, as well as in breast milk, eggs, cow's milk, flaxseed, hazelnuts, avocado, and olive oil."
02985c47-f203-4125-957b-15eb60906ec2,306,"Körpən bir müddətdir ki, iməkləyir və daim eyni mühitdə olmaqdan artıq sıxılmış ola bilər. Xüsusilə ətrafındakı hər kəsin yeridiyini gördükdə, o da ayağa qalxmaq üçün səy göstərməyə başlayacaq. Bunu etmək üçün ilk növbədə, bir yerə tutunaraq ayağa qalxmağa çalışacaq. Bir müddət uğursuz cəhdlər ola bilər, bəlkə də ilk dəfədən uğur qazanar. Bu, hər körpənin inkişaf xüsusiyyətlərinə və mühitinə görə dəyişir. Körpənin əvvəlcə yaxınlıqdakı mebellərə tutunaraq ayağa qalxmağa çalışdığını görəcəksən. Bunu bacardığını anladıqda, dəstəksiz durmağa çalışacaq. Lakin buna nail olmaq üçün hələ bir az zamana ehtiyacı var. Bu mərhələdə körpənə dəstək olmaq üçün kreslo və ya stul kimi tutuna biləcəyi əşyaların üzərinə marağını çəkəcək oyuncaqlar qoya bilərsən.",TRUE,2026-02-12 05:05:28.062755+00,2026-03-21 14:14:14.181705+00,"Your baby has been crawling for a while now and might be getting a bit bored of being in the same environment. Especially when they see everyone else walking around, they'll start trying to get on their feet too. To do this, they'll first attempt to pull themselves up by holding onto something. There might be a few unsuccessful tries, or perhaps they'll get it on the first go! This varies depending on each baby's unique development and environment. You'll notice your baby initially trying to stand up by holding onto nearby furniture. Once they master this, they'll attempt to stand unsupported. However, they still need a little more time to achieve that. To support your baby during this stage, you can place engaging toys on items they can hold onto, like chairs or stools."
